system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT05_188022_19871003_24,153220190,365.0,531.0,473.0,851.0,513.0,2821.0,328.0,89.0
LT05_188022_19871003_32,154210040,292.0,378.0,229.0,377.0,105.0,2821.0,94.0,67.0
LT05_188022_19871003_33,154210060,416.0,506.0,393.0,1371.0,900.0,2811.0,576.0,66.0
LT05_188022_19880514_17,153200140,275.0,480.0,319.0,723.0,434.0,2888.0,284.0,130.0
LT05_188022_19880514_19,153210110,398.0,615.0,474.0,1812.0,1122.0,2911.0,659.0,66.0
LT05_188022_19880514_20,153210130,266.0,393.0,346.0,536.0,303.0,2911.0,209.0,48.0
LT05_188022_19880514_22,153220050,321.0,420.0,336.0,531.0,406.0,2888.0,171.0,72.0
LT05_188022_19880514_23,153220120,313.0,454.0,399.0,723.0,564.0,2906.0,357.0,82.0
LT05_188022_19880514_24,153220190,306.0,460.0,405.0,686.0,485.0,2897.0,282.0,60.0
LT05_188022_19880514_32,154210040,272.0,334.0,261.0,371.0,221.0,2888.0,171.0,100.0
LT05_188022_19880514_33,154210060,332.0,441.0,458.0,1199.0,1050.0,2911.0,626.0,124.0
LT05_188022_19880514_34,154220020,418.0,693.0,541.0,3467.0,1544.0,2924.0,809.0,65.0
LT05_188022_19880514_35,154220070,310.0,462.0,371.0,1116.0,513.0,2893.0,284.0,74.0
LT05_188022_19880514_36,154220080,273.0,396.0,313.0,383.0,277.0,2911.0,171.0,52.0
LT05_188022_19880514_37,154230020,268.0,394.0,314.0,306.0,356.0,2902.0,283.0,41.0
LT05_188022_19880530_17,153200140,470.0,638.0,412.0,1179.0,436.0,2874.0,237.0,558.0
LT05_188022_19880530_22,153220050,431.0,590.0,455.0,860.0,448.0,2893.0,280.0,264.0
LT05_188022_19880530_23,153220120,453.0,659.0,587.0,1476.0,855.0,2906.0,704.0,289.0
LT05_188022_19880530_24,153220190,360.0,498.0,377.0,906.0,559.0,2897.0,318.0,193.0
LT05_188022_19880530_33,154210060,601.0,847.0,598.0,2152.0,1176.0,2883.0,599.0,488.0
LT05_188022_19880530_34,154220020,534.0,745.0,520.0,3122.0,1215.0,2897.0,552.0,290.0
LT05_188022_19880530_36,154220080,456.0,592.0,491.0,1192.0,558.0,2874.0,320.0,274.0
LT05_188022_19880530_37,154230020,398.0,539.0,377.0,816.0,420.0,2911.0,279.0,283.0
LT05_188022_19880701_17,153200140,661.0,765.0,509.0,1778.0,599.0,2920.0,230.0,771.0
LT05_188022_19880701_19,153210110,683.0,858.0,646.0,2801.0,1142.0,2929.0,516.0,538.0
LT05_188022_19880701_23,153220120,702.0,864.0,659.0,2147.0,964.0,2929.0,472.0,384.0
LT05_188022_19880701_24,153220190,825.0,937.0,722.0,1726.0,687.0,2933.0,276.0,406.0
LT05_188022_19880701_32,154210040,553.0,659.0,420.0,1246.0,390.0,2929.0,146.0,772.0
LT05_188022_19880701_34,154220020,620.0,739.0,506.0,1966.0,464.0,2929.0,156.0,503.0
LT05_188022_19880701_37,154230020,582.0,654.0,476.0,795.0,220.0,2920.0,121.0,384.0
LT05_188022_19881021_17,153200140,470.0,589.0,497.0,1001.0,850.0,2792.0,265.0,90.0
LT05_188022_19881021_19,153210110,520.0,731.0,691.0,2142.0,1253.0,2797.0,782.0,96.0
LT05_188022_19881021_22,153220050,568.0,683.0,513.0,544.0,232.0,2797.0,336.0,48.0
LT05_188022_19881021_23,153220120,500.0,663.0,630.0,911.0,786.0,2802.0,408.0,73.0
LT05_188022_19881021_24,153220190,511.0,616.0,460.0,623.0,433.0,2802.0,263.0,23.0
LT05_188022_19881021_32,154210040,432.0,428.0,291.0,382.0,230.0,2802.0,41.0,88.0
LT05_188022_19881021_33,154210060,531.0,554.0,532.0,1394.0,1110.0,2776.0,640.0,43.0
LT05_188022_19881021_34,154220020,665.0,1010.0,992.0,2956.0,2224.0,2792.0,1151.0,48.0
